category;cohort;country
Dev Tools,2023,Bangladesh
AI Engineering,2025,India (IN)
Serverless,2023,India
Security,2025,United States of America (US)
Network C&D,2025,Germany (DE)
Data,2025,India (IN)
Security,2025,Nepal (NP)
Containers,2024,France
Serverless,2025,Egypt (EG)
Containers,2023,Egypt
Machine Learning,2023,Egypt
Security,2023,United States of America
Cloud Operations,2023,Indonesia
Machine Learning,2023,Pakistan
Containers,2025,Pakistan (PK)
Data,2024,Pakistan
AI Engineering,2022,Egypt
AI Engineering,2025,France (FR)
Containers,2025,Nigeria (NG)
Serverless,2025,United Arab Emirates (AE)
Network C&D,2025,Nigeria (NG)
Serverless,2025,India (IN)
Security,2025,India (IN)
Serverless,2024,Canada
Containers,2023,India
Containers,2023,India
Data,2020,India
Dev Tools,2023,India
Containers,2020,India
Security,2024,India
Security,2023,Canada
Cloud Operations,2025,India (IN)
Serverless,2025,Nepal (NP)
Machine Learning,2023,India
Data,2025,India (IN)
AI Engineering,2024,Nepal
AI Engineering,2025,India (IN)
Security,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Serverless,2025,Philippines (PH)
Dev Tools,2023,Sri Lanka
Machine Learning,2024,United States of America
Security,2022,United Kingdom of Great Britain and Northern Ireland
Security,2023,United States of America
Serverless,2023,Poland
Security,2025,Spain (ES)
Containers,2025,Italy (IT)
Security,2022,Nigeria
Security,2021,Kenya
Serverless,2025,Nigeria (NG)
Containers,2025,Nigeria (NG)
Network C&D,2025,India (IN)
Cloud Operations,2023,India
Containers,2023,India
Dev Tools,2023,Indonesia
AI Engineering,2025,India (IN)
AI Engineering,2025,India (IN)
Serverless,2021,South Africa
Serverless,2023,Hungary
Machine Learning,2024,Mexico
Containers,2023,France
Machine Learning,2022,Indonesia
Dev Tools,2023,India
Machine Learning,2022,Sri Lanka
Cloud Operations,2022,France
Containers,2025,Pakistan (PK)
Cloud Operations,2023,United Arab Emirates
Containers,2023,United Arab Emirates
Containers,2024,Bosnia and Herzegovina
Containers,2021,Malaysia
Machine Learning,2022,Egypt
Machine Learning,2022,Egypt
Machine Learning,2023,Egypt
Serverless,2025,Egypt (EG)
Serverless,2025,United Arab Emirates (AE)
Security,2021,Japan
Containers,2025,Malaysia (MY)
Containers,2022,Qatar
Cloud Operations,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Security,2024,United States of America
Dev Tools,2023,Nepal
Containers,2025,India (IN)
Serverless,2025,India (IN)
Data,2025,India (IN)
AI Engineering,2025,India (IN)
Containers,2021,India
Network C&D,2021,India
Containers,2021,Nepal
Containers,2022,Nigeria
Dev Tools,2022,Nigeria
Security,2025,Nepal (NP)
Containers,2025,India (IN)
Serverless,2025,India (IN)
Dev Tools,2022,India
Containers,2024,Singapore
Serverless,2024,India
Serverless,2021,India
Network C&D,2025,Australia (AU)
Serverless,2021,Finland
Containers,2022,Japan
Containers,2022,Benin
Dev Tools,2024,Japan
Security,2024,Japan
Serverless,2020,Japan
Network C&D,2024,Nepal
Cloud Operations,2023,India
Serverless,2023,Australia
Cloud Operations,2025,Peru (PE)
Security,2022,Kenya
Serverless,2025,Indonesia (ID)
AI Engineering,2025,Colombia (CO)
Dev Tools,2023,Colombia
Dev Tools,2023,Colombia
Security,2022,Spain
Dev Tools,2025,Mexico (MX)
AI Engineering,2022,Poland
Security,2023,Canada
Network C&D,2023,Bosnia and Herzegovina
Security,2024,Serbia
Containers,2025,Serbia (RS)
Machine Learning,2025,Italy (IT)
Serverless,2022,Germany
Dev Tools,2025,Germany (DE)
Cloud Operations,2024,Spain
Dev Tools,2022,Romania
Dev Tools,2020,United States of America
Security,2022,United States of America
Serverless,2021,United Kingdom of Great Britain and Northern Ireland
Serverless,2022,United Kingdom of Great Britain and Northern Ireland
Containers,2025,United States of America (US)
